Query,Name,Address,Phone,Rating
belthangady,Govt. Boys Hostel,"X7MF+Q87, Jr College Rd","X7MF+Q87, Jr College Rd",4.1
belthangady,Mathrushri PG,Open 24 hours · 094499 14185,X7WX+GH2,3.5
belthangady,Raghavendra pg,Open 24 hours,"RAGHAVENDRA NILIYA ,RATHA BEEDI Near Ashwath katte jhanardhana temple UJIRE",4.9
belthangady,sc girls hostel belthanagdy,Temporarily closed,X7RC+V3R,5.0
belthangady,Sweekruth girls Pg,Open 24 hours,"SADASHIVA KRUPA NAGARAJ COMPOUND, Ujire",5.0
belthangady,Balaji Boys PG,"Supriya Rakesh Comp, Belal Rd, near Manjushree Printers","Supriya Rakesh Comp, Belal Rd, near Manjushree Printers",4.3
belthangady,Arjun boy's pg ujire,Open 24 hours,"Ujire, Karnataka",4.6
belthangady,Nandagokula Boy's PG,"Ujire, Karnataka","Ujire, Karnataka",5.0
belthangady,Sweekrutha PG/MESS,"Ujire, Karnataka","Ujire, Karnataka",5.0
belthangady,Sahana Boys PG/Mess,Open ⋅ Closes 8 pm,"Ujire, Karnataka",5.0
belthangady,Shree Matha PG for Girls,Open 24 hours,"Ujire, Karnataka",3.5
belthangady,Abhivruddhi (Girls PG),"Ujire, Karnataka","Ujire, Karnataka",1.0
belthangady,GIRLS MESS,"Ujire, Karnataka","Ujire, Karnataka",3.2
